"name","whitelist","blacklist","wpercentage","bpercentage","sum","wnorm","bnorm","remainder","wrnorm","wbnorm","tentropy","fentropy","centropy","gain"
"suspicious_packer_section","476","26815","0.004549756","0.1493373","27291","0.01744165","0.9825584","256890","0.405407","0.594593","0.1268245","0.974025736","0.8926657","0.05657464"
"yodas_Protector_v1033_dllocx_Ashkbiz_Danehkar_h","259","23033","0.002475602","0.1282747","23292","0.0111197","0.9888803","260889","0.4000245","0.5999755","0.08812786","0.970964943","0.898606","0.05063439"
"Microsoft_Visual_Cpp_80_DLL","10784","694","0.1030768","0.003865003","11478","0.9395365","0.0604635","272703","0.3440996","0.6559004","0.3292821","0.928687842","0.904478","0.04476238"
"Microsoft_Visual_C_Basic_NET","23173","10679","0.2214947","0.05947316","33852","0.6845386","0.3154614","250329","0.3253638","0.6746362","0.8993775","0.910119318","0.9088398","0.04040064"
"UPX","288","18042","0.002752793","0.1004789","18330","0.01571195","0.984288","265851","0.3924491","0.6075509","0.1166344","0.966361899","0.9115535","0.03768687"
"Microsoft_Visual_Cpp_v50v60_MFC","7465","43549","0.07135279","0.2425317","51014","0.1463324","0.8536676","233167","0.4166799","0.5833201","0.6005855","0.979875175","0.911788","0.03745238"
"HasDigitalSignature","26240","14777","0.2508101","0.08229561","41017","0.6397347","0.3602653","243164","0.322338","0.677662","0.9429032","0.90690586","0.9121015","0.03713888"
"_NET_DLL__Microsoft_","9760","1291","0.09328911","0.007189797","11051","0.883178","0.116822","273130","0.3473108","0.6526892","0.5201563","0.931643418","0.9156418","0.03359853"
"NETDLLMicrosoft","9760","1292","0.09328911","0.007195366","11052","0.8830981","0.1169019","273129","0.3473121","0.6526879","0.5203894","0.931644576","0.9156505","0.0335898"
"PEiD_00013__NET_DLL____Microsoft_","9760","1292","0.09328911","0.007195366","11052","0.8830981","0.1169019","273129","0.3473121","0.6526879","0.5203894","0.931644576","0.9156505","0.0335898"
"DebuggerTiming__PerformanceCounter","33902","25175","0.3240458","0.1402038","59077","0.5738612","0.4261388","225104","0.3141614","0.6858385","0.9842011","0.897918883","0.9158556","0.03338471"
"SEH__vba","218","14960","0.002083712","0.08331477","15178","0.01436289","0.9856371","269003","0.3881109","0.6118891","0.1084943","0.963569627","0.9179004","0.03133999"
"Str_Win32_Wininet_Library","5646","33597","0.05396622","0.1871074","39243","0.1438728","0.8561272","244938","0.4040819","0.5959182","0.5942921","0.973288301","0.9209521","0.02828825"
"Microsoft_Visual_Basic_v50","209","13269","0.001997687","0.0738973","13478","0.01550675","0.9844933","270703","0.3857068","0.6142932","0.1154076","0.961973064","0.9218225","0.02741781"
"UPX_wwwupxsourceforgenet","151","12833","0.001443305","0.07146915","12984","0.0116297","0.9883703","271197","0.3852181","0.6147819","0.0914131","0.961644199","0.9218841","0.02735633"
"UPX_wwwupxsourceforgenet_additional","151","12833","0.001443305","0.07146915","12984","0.0116297","0.9883703","271197","0.3852181","0.6147819","0.0914131","0.961644199","0.9218841","0.02735633"
"Visual_Cpp_2005_DLL_Microsoft","8388","1354","0.08017511","0.007540655","9742","0.8610142","0.1389858","274439","0.3506535","0.6493465","0.5815766","0.934650346","0.9225466","0.02669373"
"Str_Win32_Winsock2_Library","9817","42964","0.09383393","0.2392738","52781","0.185995","0.814005","231400","0.4096975","0.5903025","0.6930177","0.976341352","0.9237196","0.02552079"
"PackerUPX_CompresorGratuito_wwwupxsourceforgenet","97","11628","0.000927156","0.0647583","11725","0.008272921","0.9917271","272456","0.3836363","0.6163638","0.06911279","0.960569763","0.9237892","0.02545116"
